Radius_[pixels],Normalized_Integrated_Intensity
1.3333,44723.047
2.6667,27517.334
4.0000,13581.454
5.3333,4941.000
6.6667,1602.857
8.0000,1249.143
9.3333,1676.400
10.6667,1639.600
12.0000,1299.862
13.3333,971.867
14.6667,964.000
16.0000,1082.051
17.3333,1063.556
18.6667,982.316
20.0000,917.957
21.3333,924.455
22.6667,944.178
24.0000,959.458
25.3333,924.231
26.6667,901.407
28.0000,910.708
29.3333,910.129
30.6667,919.161
32.0000,904.693
33.3333,902.303
34.6667,909.543
36.0000,913.679
37.3333,913.095
38.6667,908.579
40.0000,900.407
