Distance_(pixels),Gray_Value
0,2964.000
1,2868.073
2,2852.036
3,3013.878
4,3263.721
5,3030.528
6,2981.976
7,2962.292
8,2905.912
9,2782.386
10,2893.467
11,2977.541
12,2839.909
13,2757.804
14,2831.424
15,2999.598
16,3002.650
17,2919.944
18,3252.891
19,3470.475
20,3441.429
21,3522.297
22,3632.199
23,3463.506
24,3194.688
25,3153.873
26,3361.472
27,3342.583
28,3136.127
29,3126.425
30,3318.896
31,3330.561
32,3281.025
33,3241.548
34,3384.769
35,3488.598
36,3467.496
37,3452.661
38,3404.283
39,3523.288
40,3684.023
41,3697.379
42,3877.632
43,4292.358
44,4308.222
45,4268.913
46,4406.136
47,4584.977
48,5041.089
49,5156.191
50,5149.632
51,5168.093
52,5109.841
53,5025.483
54,5680.927
55,6946.963
56,8244.310
57,9437.023
58,10218.358
59,10642.255
60,10971.162
61,10433.015
62,9011.149
63,7948.850
64,6585.081
65,5813.287
66,5284.916
67,5056.619
68,7522.138
69,5927.103
70,4273.118
71,3385.357
72,2832.229
73,2830.197
74,2949.362
75,2935.279
76,2636.046
77,2516.106
78,2557.794
79,2466.300
80,2407.670
81,2483.034
82,2554.505
83,2506.566
84,2323.831
85,2412.686
86,2526.672
87,2430.853
88,2339.247
89,2418.440
90,2497.605
91,2375.808
92,2485.744
93,2511.551
94,2362.777
95,2261.597
96,2373.951
97,2473.500
98,2444.068
99,2332.742
100,2396.358
101,2507.414
102,2481.761
103,2347.187
104,2471.445
105,2629.218
106,2578.832
107,2538.395
108,2520.247
109,2525.729
110,2509.459
111,2485.183
112,2415.280
113,2467.225
114,2479.001
115,2327.433
116,2334.534
117,2461.762
118,2464.079
119,2444.703
120,2363.970
121,2365.565
122,2547.208
123,2606.573
124,2484.322
125,2376.064
126,2440.241
127,2505.898
128,2352.964
129,2502.763
130,2540.985
131,2504.904
132,2557.666
133,2490.928
134,2419.352
135,2607.724
136,2513.712
137,2390.962
138,2432.733
139,2370.257
140,2464.060
141,2464.424
142,2595.177
143,2540.806
144,2492.384
145,2637.483
146,2649.180
147,2597.709
148,2442.978
149,2561.731
150,2554.613
151,2708.999
152,2850.379
153,2735.261
154,2714.889
155,2749.940
156,4110.320
157,7721.951
158,6973.138
159,4360.978
160,3604.131
161,3028.637
162,2745.499
163,2531.705
164,2473.952
165,2605.186
166,2596.626
167,2514.730
168,2434.602
169,2408.192
170,2437.898
171,2426.337
172,2406.708
173,2487.029
174,2446.746
175,2486.608
176,2399.881
177,2425.048
178,2513.154
179,2653.281
180,2442.953
181,2411.417
182,2504.626
183,2573.686
184,2656.422
185,2622.999
186,2584.386
187,2731.349
188,2797.570
189,2534.548
190,2696.211
191,2735.943
192,2737.521
193,2782.929
194,2814.655
195,2934.791
196,3083.142
197,3192.952
198,3405.585
199,3554.590
200,3568.216
201,3804.727
202,4031.042
203,4140.475
204,3966.826
205,3989.048
206,4049.207
207,3780.844
208,3763.780
209,4130.224
210,4555.493
211,4422.593
212,4276.023
213,4234.507
214,4287.460
215,4276.036
216,4026.392
217,4279.905
218,5107.238
219,5952.788
220,6303.312
221,6508.291
222,6770.822
223,6763.252
224,5894.438
225,5340.386
226,5575.408
227,6604.392
228,7464.744
229,8012.423
230,7978.205
231,7983.613
232,7709.101
233,7559.530
234,8258.550
235,10270.393
236,12791.799
237,13939.679
238,14234.859
239,15208.016
240,19380.398
241,26621.574
242,32924.727
243,37448.078
244,40741.285
245,42250.566
246,37650.195
247,30440.486
248,23966.568
249,17422.535
250,12625.445
251,9074.243
252,6325.292
253,5052.832
254,4584.262
255,4045.832
256,3256.180
257,3082.750
258,3001.076
259,2959.878
260,2793.954
261,2615.317
262,2651.068
263,2643.780
264,2601.974
265,2494.032
266,2486.488
267,2471.573
268,2544.092
269,2586.498
270,2510.371
271,2470.903
272,2418.233
273,2595.106
274,2660.711
275,2617.069
276,2474.243
277,2361.853
278,2437.144
279,2502.223
280,2369.677
281,2406.755
282,2494.847
283,2554.517
284,2542.357
285,2382.483
286,2507.229
287,2588.334
288,2621.651
289,2631.798
290,2508.828
291,2620.064
292,2558.033
293,2366.848
294,2259.824
295,2514.653
296,2583.466
297,2436.790
298,2645.686
299,2866.488
300,2744.484
301,2611.877
302,2545.171
303,2605.280
304,2645.617
305,2742.151
306,2743.091
307,2836.738
308,2934.139
309,2916.078
310,2904.620
311,2997.366
312,2897.333
313,2993.861
314,3254.601
315,3334.866
316,3328.669
317,3216.099
318,3295.493
319,3353.885
320,3274.168
321,3374.814
322,3580.394
323,3556.848
324,3393.356
325,3580.131
326,4280.018
327,4913.459
328,5362.001
329,5558.027
330,6000.968
331,8013.734
332,10444.839
333,13011.921
334,13234.417
335,11850.625
336,10202.886
337,8130.618
338,6934.791
339,5566.655
340,4430.273
341,3480.107
342,3053.986
343,2819.958
344,2601.223
345,2604.498
346,2549.617
347,2496.148
348,2460.297
349,2478.937
350,2477.042
351,2506.752
352,2487.174
353,2434.601
354,2496.281
355,2501.346
356,2462.342
357,2545.989
358,2457.093
359,2416.383
360,2566.602
361,2475.439
362,2523.248
363,2536.477
364,2420.900
365,2408.649
366,2411.163
367,2374.121
368,2338.570
369,2470.715
370,2415.710
371,2439.455
372,2548.700
373,2467.402
374,2507.021
375,2534.855
376,2581.297
377,2554.636
378,2488.430
379,2512.287
380,2479.148
381,2537.163
382,2646.242
383,2513.833
384,2527.539
385,2554.566
386,2571.551
387,2541.736
388,2534.464
389,2670.939
390,2827.232
391,2863.029
392,2735.993
393,2559.328
394,2611.907
395,3122.007
396,3590.283
397,4093.288
398,5116.519
399,6038.428
400,6289.705
401,6299.645
402,6748.405
403,7516.417
404,8192.938
405,8869.323
406,11476.014
407,15968.991
408,18487.979
409,19403.918
410,20749.047
411,20172.559
412,19175.746
413,23391.336
414,28357.629
415,26805.258
