Distance_(pixels),Gray_Value
0,11112.439
1,11027.634
2,10962.981
3,10920.778
4,10891.897
5,10906.187
6,10876.371
7,10925.211
8,11013.935
9,11104.765
10,11251.397
11,11414.249
12,11574.774
13,11790.568
14,12037.320
15,12262.419
16,12459.932
17,12705.799
18,12935.286
19,13184.334
20,13429.960
21,13724.168
22,13978.449
23,14248.246
24,14579.705
25,14914.822
26,15204.652
27,15534.307
28,15808.278
29,16107.113
30,16366.150
31,16600.736
32,16817.695
33,17000.438
34,17190.600
35,17408.445
36,17576.238
37,17636.754
38,17798.150
39,17989.764
40,18172.811
41,18371.596
42,18572.838
43,18683.699
44,18795.117
45,18839.043
46,18860.904
47,18892.881
48,18988.158
49,19079.520
50,19097.070
51,19089.006
52,18971.076
53,18845.521
54,18730.924
55,18607.977
56,18498.355
57,18315.412
58,18092.307
59,17892.488
60,17810.527
61,17794.691
62,17709.930
63,17509.137
64,17248.420
65,16955.199
66,16622.887
67,16337.696
68,16092.684
69,15833.654
70,15548.863
71,15238.916
72,14947.202
73,14577.194
74,14233.843
75,13985.300
76,13782.887
77,13585.550
78,13350.916
79,13137.627
80,12854.872
81,12553.575
82,12303.325
83,12062.108
84,11851.706
85,11681.122
86,11582.840
87,11454.283
88,11356.482
89,11259.446
90,11207.174
91,11170.206
92,11127.160
93,11111.673
94,11110.685
95,11143.436
96,11194.227
97,11242.927
98,11271.938
99,11350.552
100,11458.147
101,11550.637
102,11701.691
103,11871.197
104,12142.623
105,12352.097
106,12548.909
107,12728.513
108,12900.657
109,13104.465
110,13297.446
111,13506.992
112,13738.208
113,13951.549
114,14174.785
115,14414.974
116,14660.188
117,14896.407
118,15162.504
119,15431.697
120,15678.504
121,15920.212
122,16160.354
123,16420.699
124,16637.080
125,16843.438
126,17034.756
127,17257.980
128,17419.492
129,17537.670
130,17647.309
131,17735.557
132,17738.318
133,17688.686
134,17722.006
135,17822.879
136,17961.246
137,18070.158
138,18167.730
139,18185.121
140,18141.072
141,18028.562
142,17884.805
143,17727.912
144,17538.359
145,17358.723
146,17235.758
147,17086.867
148,16966.219
149,16858.205
150,16740.566
151,16603.607
152,16508.191
153,16412.818
154,16277.863
155,16057.648
156,15770.578
157,15503.083
158,15228.229
159,14962.556
160,14681.628
161,14387.944
162,14048.091
163,13780.181
164,13522.148
165,13302.595
166,13084.341
167,12867.221
168,12636.170
169,12407.573
170,12206.666
171,12022.441
172,11823.375
173,11616.168
174,11389.638
175,11172.417
176,10985.489
177,10820.926
178,10721.217
179,10645.089
180,10602.402
181,10565.820
182,10521.481
183,10466.797
184,10452.159
185,10452.308
186,10490.520
187,10558.433
188,10658.150
189,10784.156
190,10873.844
191,11016.635
192,11163.535
193,11278.948
194,11420.912
195,11562.253
196,11726.265
197,11917.941
198,12062.761
199,12232.438
200,12440.890
201,12627.098
202,12814.722
203,13057.564
204,13257.059
205,13474.356
206,13758.849
207,14025.216
208,14336.409
209,14622.688
210,14841.561
211,15087.629
212,15324.501
213,15578.003
214,15851.023
215,16139.122
216,16422.322
217,16653.971
218,16956.684
219,17256.008
220,17528.633
221,17753.586
222,17930.146
223,18088.539
224,18224.410
225,18326.576
226,18445.535
227,18563.492
228,18610.990
229,18609.490
230,18629.375
231,18599.848
232,18615.012
233,18630.197
234,18596.998
235,18603.584
236,18532.193
237,18490.676
238,18430.305
239,18280.869
240,18185.980
241,17998.992
242,17781.254
243,17583.805
244,17378.811
245,17203.611
246,16978.828
247,16726.674
248,16466.438
249,16251.229
250,15995.949
251,15727.455
252,15510.230
253,15299.865
254,15033.063
255,14737.629
256,14410.224
257,14101.021
258,13831.825
259,13574.770
260,13350.138
261,13125.334
262,12904.708
263,12713.321
264,12522.652
265,12307.730
266,12135.226
267,11954.555
268,11766.509
269,11630.997
270,11468.325
271,11360.980
272,11264.578
273,11206.671
274,11196.088
275,11184.052
276,11196.051
277,11199.898
278,11225.315
279,11285.797
280,11389.278
281,11502.013
282,11608.093
283,11692.555
284,11758.124
285,11876.564
286,12040.361
287,12203.765
288,12411.188
289,12593.319
290,12757.454
291,12904.861
292,13083.152
293,13351.803
294,13663.416
295,13964.610
296,14252.327
297,14527.588
298,14797.142
299,15082.266
300,15330.000
301,15578.285
302,15817.959
303,16055.948
304,16312.899
305,16577.295
306,16872.029
307,17204.664
308,17515.297
309,17816.701
310,18100.621
311,18380.389
312,18667.895
313,18888.803
314,19090.137
315,19209.252
316,19287.445
317,19418.326
318,19536.125
319,19677.102
320,19778.193
321,19923.893
322,20075.586
323,20119.453
324,20121.957
325,20105.721
326,20032.850
327,19938.365
328,19832.799
329,19725.131
330,19654.900
331,19561.010
332,19371.350
333,19165.822
334,18932.678
335,18703.727
336,18465.451
337,18267.697
338,18080.807
339,17878.551
340,17644.240
341,17348.434
342,17023.473
343,16686.734
344,16380.925
345,16106.221
346,15798.254
347,15490.579
348,15172.779
349,14814.638
350,14487.285
351,14196.275
352,13957.983
353,13726.200
354,13485.217
355,13279.004
356,13067.389
357,12857.995
358,12692.655
359,12550.350
360,12401.156
361,12258.650
362,12113.808
363,11997.258
364,11894.838
365,11799.270
366,11750.115
367,11717.166
368,11748.727
369,11823.776
370,11898.057
371,11957.276
372,12038.426
373,12155.727
374,12293.633
375,12446.441
376,12584.111
377,12735.156
378,12954.830
379,13173.648
380,13338.075
381,13533.222
382,13758.671
383,13998.846
384,14251.980
385,14493.894
386,14749.120
387,15027.839
388,15308.220
389,15550.925
390,15780.619
391,16018.097
392,16306.877
393,16590.594
394,16835.617
395,17177.484
396,17503.965
397,17825.377
398,18111.396
399,18390.055
400,18603.686
401,18777.076
402,18963.824
403,19085.906
404,19255.400
405,19458.389
406,19585.264
407,19685.254
408,19760.033
409,19795.881
410,19819.689
411,19847.994
412,19881.494
413,19908.268
414,19943.281
415,19942.232
416,19945.822
417,19902.562
418,19799.717
419,19681.914
420,19562.756
421,19464.219
422,19327.689
423,19151.871
424,18953.361
425,18737.627
426,18545.078
427,18323.189
428,18050.572
429,17774.025
430,17504.152
431,17232.275
432,16961.455
433,16701.973
434,16459.553
435,16171.990
436,15930.120
437,15658.361
438,15414.284
439,15138.898
440,14838.542
441,14588.651
442,14292.354
443,14009.229
444,13713.437
445,13440.587
446,13181.862
447,12967.184
448,12765.696
449,12598.183
450,12447.798
451,12327.020
452,12194.776
453,12108.363
454,12045.497
455,11958.162
456,11882.560
457,11812.271
458,11785.856
459,11730.382
460,11649.778
461,11613.662
462,11588.562
463,11644.850
464,11763.733
465,11932.496
466,12110.234
467,12291.628
468,12443.560
469,12629.165
470,12801.729
471,12968.433
472,13117.804
473,13321.325
474,13556.514
475,13792.357
476,14028.316
477,14263.065
478,14492.020
479,14780.033
480,15007.955
481,15249.559
482,15501.216
483,15786.918
484,16035.945
485,16278.822
486,16517.533
487,16760.355
488,17012.145
489,17267.268
490,17478.062
491,17687.055
492,17871.352
493,18045.209
494,18245.961
495,18418.617
496,18595.873
497,18739.189
498,18827.537
499,18887.865
500,18951.225
501,18991.965
502,19046.854
503,19063.186
504,19065.738
505,19068.361
506,19049.879
507,19076.213
508,19037.848
509,18951.695
510,18773.012
511,18566.383
512,18380.670
513,18168.016
514,17980.803
515,17833.850
516,17658.094
517,17482.580
518,17336.797
519,17142.656
520,16928.461
521,16749.172
522,16545.338
523,16319.938
524,16047.925
525,15798.000
526,15537.778
527,15281.508
528,15015.380
529,14751.812
530,14460.957
531,14205.349
532,13993.166
533,13764.973
534,13557.538
535,13335.486
536,13134.386
537,12918.449
538,12706.321
539,12492.733
540,12278.749
541,12071.999
542,11895.141
543,11756.079
544,11659.313
545,11589.715
546,11522.040
547,11502.841
548,11515.486
549,11530.541
550,11554.097
551,11571.152
552,11606.949
553,11659.491
554,11718.123
555,11816.897
556,11966.540
557,12111.733
558,12253.619
559,12404.788
560,12571.286
561,12770.586
562,12973.023
563,13186.271
564,13464.009
565,13739.675
566,14021.960
567,14286.004
568,14538.479
569,14811.344
570,15039.472
571,15233.540
572,15385.494
573,15579.754
574,15798.788
575,16060.251
576,16303.981
577,16567.742
578,16794.775
579,17032.730
580,17289.467
581,17589.105
582,17893.947
583,18178.625
584,18360.787
585,18478.273
586,18641.213
587,18710.342
588,18734.721
589,18729.191
590,18719.434
591,18766.746
592,18801.619
593,18862.430
594,18934.004
595,18965.877
596,18989.551
597,19025.617
598,19031.682
599,18990.473
600,18895.332
601,18746.211
602,18512.100
603,18341.398
604,18202.725
605,18001.711
606,17771.781
607,17523.182
608,17241.871
609,16930.850
610,16641.438
611,16435.168
612,16258.458
613,16005.487
614,15758.237
615,15524.850
616,15274.752
617,14990.634
618,14716.770
619,14439.444
620,14152.799
621,13895.113
622,13652.198
623,13427.290
624,13240.326
625,13036.991
626,12829.045
627,12649.692
628,12466.135
629,12307.212
630,12180.270
631,12072.679
632,11985.381
633,11870.173
634,11752.712
635,11712.600
636,11707.526
637,11700.134
638,11717.341
639,11731.664
640,11735.010
641,11744.698
642,11780.253
643,11866.368
644,11984.705
645,12117.074
646,12302.331
647,12550.912
648,12775.696
649,13038.352
650,13229.776
651,13407.146
652,13605.845
653,13814.372
654,14044.848
655,14248.671
656,14422.481
657,14650.083
658,14880.294
659,15140.600
660,15503.844
661,15851.211
662,16189.905
663,16477.133
664,16790.055
665,17064.039
666,17423.330
667,17773.646
668,18102.430
669,18372.611
670,18616.992
671,18745.678
