Distance_(pixels),Gray_Value
0,18647.844
1,15594.161
2,12605.549
3,9817.186
4,7339.598
5,5321.110
6,3835.417
7,3024.693
8,2916.119
9,3549.206
10,4923.056
11,6907.000
12,9322.176
13,12056.753
14,15070.729
15,18150.086
16,21047.883
17,23593.215
18,25665.887
19,27200.293
20,28110.625
21,28470.625
22,28198.191
23,27167.562
24,25392.908
25,23056.887
26,20315.432
27,17363.162
28,14296.700
29,11326.107
30,8583.456
31,6250.789
32,4461.540
33,3342.700
34,2910.118
35,3195.575
36,4168.764
37,5745.721
38,7871.631
39,10442.392
40,13337.814
41,16437.574
42,19538.764
43,22349.221
44,24862.207
45,26966.016
46,28455.471
47,29285.707
48,29368.277
49,28568.518
50,26969.197
51,24811.514
52,22230.818
53,19264.590
54,16161.422
55,12976.731
56,9926.356
57,7269.627
58,5189.389
59,3775.768
60,3056.659
61,3043.483
62,3764.275
63,5222.411
64,7363.848
65,10053.427
66,13055.670
67,16186.118
68,19310.811
69,22364.824
70,25192.152
71,27505.156
72,29164.471
73,30131.227
74,30287.184
75,29701.268
76,28320.836
77,26259.541
78,23743.930
79,20885.996
80,17786.141
81,14589.411
82,11492.673
83,8658.137
84,6250.643
85,4437.414
86,3338.724
87,2960.957
88,3349.006
89,4490.597
90,6312.848
91,8719.527
92,11570.696
93,14804.333
94,18186.809
95,21411.486
96,24309.465
97,26809.385
98,28814.533
99,30208.344
100,30922.750
101,30797.838
102,29941.188
103,28343.512
104,26033.846
105,23169.113
106,20094.988
107,16923.904
108,13700.561
109,10586.255
110,7796.487
111,5550.099
112,3966.900
113,3141.809
114,3117.824
115,3833.891
116,5221.809
117,7261.408
118,9860.227
119,12860.486
120,15983.702
121,19091.158
122,22114.006
123,24799.393
124,27042.541
125,28757.594
126,29802.166
127,30081.064
128,29556.766
129,28327.885
130,26350.674
131,23891.242
132,21047.143
133,17956.146
134,14859.271
135,11846.381
136,8993.612
137,6526.304
138,4606.779
139,3386.115
140,2930.077
141,3267.040
142,4350.032
143,6117.680
144,8412.456
145,11086.854
146,14044.474
147,17158.240
148,20298.791
149,23108.348
150,25426.238
151,27199.734
152,28346.561
153,28882.727
154,28791.137
155,28050.277
156,26593.434
