Distance_(pixels),Gray_Value
0,6983.157
1,6514.670
2,6377.175
3,6587.479
4,7123.283
5,7912.825
6,8939.223
7,10211.610
8,11667.246
9,13244.369
10,14899.964
11,16620.096
12,18326.896
13,19944.793
14,21385.566
15,22690.318
16,23810.721
17,24713.764
18,25323.973
19,25563.205
20,25439.877
21,25049.402
22,24319.867
23,23308.984
24,21987.207
25,20499.791
26,18887.594
27,17151.443
28,15311.112
29,13509.686
30,11845.609
31,10364.968
32,9060.125
33,7978.202
34,7186.101
35,6691.302
36,6523.959
37,6716.414
38,7278.705
39,8149.733
40,9331.282
41,10778.855
42,12425.209
43,14141.544
44,15870.394
45,17638.455
46,19374.811
47,21046.600
48,22526.814
49,23779.852
50,24719.463
51,25278.393
52,25576.707
53,25702.078
54,25558.986
55,25105.387
56,24321.490
57,23260.738
58,21944.037
59,20433.797
60,18810.975
61,17099.045
62,15325.064
63,13552.772
64,11800.920
65,10234.122
66,8947.250
67,7969.508
68,7283.878
69,6895.670
70,6838.810
71,7083.363
72,7605.862
73,8441.303
74,9591.895
75,11017.870
76,12694.928
77,14538.103
78,16380.546
79,18183.488
80,19922.180
81,21600.207
82,23120.291
83,24452.148
84,25465.287
85,26117.283
86,26443.809
87,26505.879
88,26355.400
89,25831.771
90,24989.338
91,23885.049
92,22448.775
93,20831.852
94,19164.873
95,17404.447
96,15605.711
97,13765.976
98,11996.507
99,10409.461
100,9080.619
101,8066.135
102,7342.167
103,6905.438
104,6793.487
105,7033.802
106,7602.363
107,8475.711
108,9612.751
109,10961.308
110,12488.523
111,14196.549
112,15952.670
113,17667.996
114,19358.863
115,21008.305
116,22557.527
117,23908.264
118,25033.600
119,25817.893
120,26240.631
121,26300.061
122,26018.604
123,25441.111
124,24589.127
125,23428.488
126,22049.598
127,20429.070
128,18720.941
129,16988.168
130,15301.523
131,13582.987
132,11946.715
133,10443.500
134,9117.633
135,8077.113
136,7351.125
137,6937.355
138,6831.263
139,7060.975
140,7578.544
141,8396.104
142,9466.071
143,10738.971
144,12215.564
145,13809.214
146,15471.562
147,17150.543
148,18810.102
149,20411.826
150,21841.680
151,23215.945
152,24325.014
153,25117.854
154,25592.068
155,25687.174
156,25450.145
157,24957.461
158,24190.504
159,23080.275
160,21653.559
161,20098.787
162,18421.307
163,16722.369
164,15011.817
165,13309.864
166,11695.364
167,10232.291
168,8982.725
