Radius_[pixels],Normalized_Integrated_Intensity
1.3333,32067.047
2.6667,5200.000
4.0000,3647.273
5.3333,1913.000
6.6667,1759.143
8.0000,1518.857
9.3333,1451.400
10.6667,1432.600
12.0000,1419.448
13.3333,1405.200
14.6667,1401.333
16.0000,1394.564
17.3333,1391.222
18.6667,1373.474
20.0000,1382.723
21.3333,1375.818
22.6667,1364.089
24.0000,1381.356
25.3333,1370.000
26.6667,1379.556
28.0000,1379.200
29.3333,1371.032
30.6667,1370.387
32.0000,1361.813
33.3333,1374.485
34.6667,1368.114
36.0000,1377.333
37.3333,1367.571
38.6667,1364.105
40.0000,1368.063
