Distance_(pixels),Gray_Value
0,1544.889
1,1590.212
2,1522.554
3,1553.119
4,1624.096
5,1546.307
6,1640.599
7,1708.651
8,1669.110
9,1509.367
10,1576.489
11,1605.997
12,1718.465
13,1566.758
14,1529.757
15,1447.435
16,1600.920
17,1537.273
18,1571.403
19,1596.529
20,1486.264
21,1577.312
22,1569.922
23,1574.156
24,1613.685
25,1494.007
26,1630.998
27,1575.367
28,1501.765
29,1493.831
30,1434.334
31,1480.130
32,1606.998
33,1570.268
34,1550.206
35,1545.520
36,1575.599
37,1528.543
38,1555.001
39,1572.255
40,1636.063
41,1463.844
42,1477.848
43,1630.050
44,1515.109
45,1552.168
46,1502.079
47,1552.371
48,1602.502
49,1474.516
50,1470.732
51,1628.556
52,1672.882
53,1584.240
54,1710.412
55,1576.265
56,1610.810
57,1454.804
58,1544.484
59,1533.309
60,1618.840
61,1596.103
62,1591.473
63,1547.636
64,1548.291
65,1483.806
66,1465.271
67,1538.053
68,1553.113
69,1550.129
70,1481.192
71,1588.669
72,1542.575
73,1496.617
74,1632.142
75,1695.907
76,1650.904
77,1605.547
78,1537.533
79,1532.545
80,1514.713
81,1665.109
82,1470.324
83,1390.829
84,1498.360
85,1582.678
86,1552.989
87,1537.707
88,1524.617
89,1581.431
90,1574.645
91,1571.016
92,1557.717
93,1466.693
94,1531.292
95,1576.759
96,1537.587
97,1483.480
98,1570.823
99,1700.369
100,1664.303
101,1592.586
102,1508.567
103,1536.257
104,1552.274
105,1631.982
106,1609.254
107,1551.120
108,1501.136
109,1530.372
110,1513.561
111,1547.274
112,1603.795
113,1608.529
114,1597.743
115,1581.392
116,1598.375
117,1547.322
118,1500.244
119,1519.033
120,1531.174
121,1582.343
122,1625.148
123,1521.506
124,1525.686
125,1590.908
126,1625.071
127,1609.965
128,1639.558
129,1609.326
130,1572.174
131,1633.480
132,1658.077
133,1595.726
134,1456.029
135,1466.420
136,1491.317
137,1530.412
138,1619.497
139,1599.092
140,1542.917
141,1486.143
142,1452.210
143,1589.929
144,1675.643
145,1584.977
146,1544.134
147,1548.131
148,1585.046
149,1637.170
150,1571.986
151,1502.828
152,1606.180
153,1539.355
154,1443.974
155,1536.801
156,1615.011
157,1605.013
158,1647.525
159,1718.097
160,1824.875
161,1613.343
162,1512.305
163,1564.898
164,1449.122
165,1525.123
166,1631.626
167,1783.733
168,1681.678
169,1725.404
170,1788.368
171,1630.828
172,1551.445
173,1558.806
174,1489.444
175,1480.223
176,1574.772
177,1527.753
178,1586.496
179,1550.167
180,1546.334
181,1440.121
182,1461.735
183,1514.032
184,1764.775
185,1630.790
186,1531.997
187,1515.636
188,1613.190
189,1567.593
190,1660.742
191,1480.175
192,1629.996
193,1704.829
194,1698.956
195,1649.756
196,1396.803
197,1491.911
198,1408.663
199,1504.977
200,1481.413
201,1654.555
202,1496.697
203,1507.648
204,1623.461
205,1589.245
206,1655.636
207,1674.164
208,1682.013
209,1576.842
210,1437.853
211,1500.040
212,1611.892
