Distance_(pixels),Gray_Value
0,26662.818
1,26233.863
2,25297.205
3,24071.959
4,22523.363
5,20681.914
6,18646.900
7,16442.389
8,14063.692
9,11802.354
10,9760.139
11,8001.865
12,6582.309
13,5588.115
14,5021.360
15,4866.937
16,5212.038
17,5983.948
18,7208.735
19,8800.016
20,10676.741
21,12776.138
22,15079.360
23,17471.281
24,19712.744
25,21736.039
26,23471.736
27,24748.828
28,25695.150
29,26260.359
30,26400.832
31,26161.207
32,25542.795
33,24490.605
34,22957.615
35,21037.750
36,18891.979
37,16547.170
38,14199.647
39,12000.912
40,9976.377
41,8239.783
42,6864.308
43,5874.813
44,5308.330
45,5196.877
46,5584.808
47,6496.398
48,7889.012
49,9725.924
50,11911.891
51,14227.718
52,16604.119
53,18896.621
54,20963.170
55,22926.240
56,24620.500
57,26032.883
58,27156.986
59,27942.016
60,28171.062
61,27883.502
62,27104.287
63,25733.652
64,23851.775
65,21656.828
66,19325.764
67,16912.078
68,14543.987
69,12385.294
70,10384.618
71,8591.763
72,7101.705
73,5985.392
74,5312.003
75,5137.540
76,5443.894
77,6219.858
78,7475.345
79,9173.821
80,11135.816
81,13301.778
82,15615.066
83,18009.781
84,20417.000
85,22722.283
86,24797.195
87,26603.740
88,27948.098
89,28707.701
90,28812.039
91,28395.904
92,27469.184
93,26089.229
94,24325.701
95,22359.064
96,20303.307
97,18157.998
98,15886.734
99,13616.364
100,11451.526
101,9447.921
102,7745.393
103,6441.278
104,5616.028
105,5302.067
106,5485.094
107,6150.307
108,7277.874
109,8846.411
110,10748.854
111,13000.886
112,15469.438
113,18033.396
114,20500.326
115,22833.436
116,24869.064
117,26473.020
118,27706.770
119,28474.531
120,28752.139
121,28521.932
122,27857.582
123,26671.918
124,25047.580
125,22991.883
126,20695.912
127,18225.855
128,15714.443
129,13291.550
130,11016.100
131,9064.239
132,7481.858
133,6325.432
134,5577.680
135,5292.180
136,5470.439
137,6122.165
138,7238.030
139,8766.147
140,10645.822
141,12782.749
142,15089.257
143,17522.666
144,19932.863
145,22234.330
146,24364.490
147,26141.646
148,27471.141
149,28359.451
150,28679.645
151,28373.689
152,27546.588
153,26294.895
154,24630.555
155,22674.389
156,20560.053
157,18301.123
158,15990.153
159,13689.614
160,11555.984
161,9625.161
162,7953.976
163,6623.613
164,5727.140
165,5323.618
166,5440.251
167,6034.001
168,7088.500
169,8538.646
170,10298.221
171,12349.254
172,14762.354
173,17367.812
174,19888.350
175,22280.338
176,24403.006
177,25987.322
178,27165.525
179,28007.578
180,28285.535
181,28134.490
182,27595.660
183,26530.219
184,25027.826
185,23305.250
186,21236.301
187,18916.693
188,16456.764
189,14081.240
190,11797.511
191,9777.885
192,8074.872
193,6718.343
194,5785.338
195,5262.646
196,5206.412
197,5622.003
198,6521.552
199,7895.743
200,9633.714
201,11687.098
202,13986.753
203,16330.494
204,18658.521
205,20916.465
206,22938.967
207,24746.352
208,26266.432
209,27277.605
210,27758.898
211,27789.619
212,27377.545
213,26450.701
214,25113.861
215,23426.701
216,21427.436
217,19278.758
218,17039.666
219,14778.933
220,12542.346
221,10465.737
222,8653.447
223,7144.725
224,6078.590
225,5450.063
226,5297.760
227,5645.881
228,6457.383
229,7712.916
230,9328.619
231,11233.707
232,13397.692
233,15711.376
234,18053.912
235,20376.766
236,22592.598
237,24540.137
238,26039.406
239,27140.762
240,27797.641
241,27909.389
242,27526.504
243,26692.715
244,25444.031
245,23786.711
246,21743.033
247,19503.795
248,17211.992
249,14881.948
250,12602.744
251,10536.615
252,8695.663
253,7204.253
254,6138.488
255,5485.190
256,5316.187
257,5626.167
258,6405.143
259,7622.811
260,9204.439
261,11093.915
262,13214.871
263,15456.079
264,17758.965
265,20028.123
266,22115.523
267,23961.658
268,25434.785
269,26509.773
270,27057.092
271,27085.240
272,26728.676
273,25970.246
274,24836.689
275,23344.928
276,21556.818
277,19595.553
278,17468.941
279,15197.313
280,12969.714
281,10886.361
282,9029.819
283,7544.612
284,6412.376
285,5662.875
286,5342.648
287,5518.508
288,6171.463
289,7304.553
290,8852.617
291,10756.216
292,12868.413
293,15136.921
294,17462.561
295,19634.820
296,21559.928
297,23393.822
298,24949.652
299,26098.557
300,26850.506
301,27143.648
302,26917.955
303,26167.662
304,24942.273
305,23394.963
306,21661.082
307,19736.354
308,17661.453
309,15512.716
310,13375.779
311,11378.915
312,9557.961
313,8007.524
314,6769.646
315,5945.901
316,5580.057
317,5681.709
318,6266.170
319,7316.492
320,8768.690
321,10620.989
322,12769.461
323,15080.059
324,17406.863
325,19625.469
326,21649.549
327,23477.385
328,25098.002
329,26397.906
330,27263.234
331,27572.240
332,27331.047
333,26610.475
334,25483.729
335,24005.826
336,22163.107
337,20059.307
338,17857.299
339,15727.589
340,13601.188
341,11553.404
342,9667.614
343,8110.535
344,6922.594
345,6109.930
346,5725.686
347,5764.106
348,6260.615
349,7209.351
350,8570.900
351,10272.641
352,12260.101
353,14471.396
354,16783.086
355,19032.611
356,21186.480
357,23139.674
358,24732.881
359,25835.791
360,26521.439
361,26834.191
362,26725.730
363,26222.180
364,25271.750
365,23978.730
366,22316.248
367,20346.152
368,18248.420
369,16104.035
370,13967.751
371,11888.354
372,9967.258
373,8276.149
374,6976.409
375,6092.110
376,5657.102
377,5658.225
378,6094.539
379,6948.682
380,8213.317
381,9786.805
382,11616.126
383,13662.678
384,15826.567
385,17920.988
386,19953.285
387,21811.900
388,23467.754
389,24713.746
390,25486.117
391,25879.002
392,25908.121
393,25530.162
394,24743.723
395,23510.740
396,21897.297
397,20066.148
398,18156.873
399,16172.474
400,14166.864
401,12143.746
402,10264.943
403,8620.551
404,7284.917
405,6332.978
406,5801.910
407,5682.659
408,5977.776
409,6738.361
410,7913.490
411,9414.710
412,11182.602
413,13143.169
414,15193.271
415,17157.660
416,19048.629
417,20843.561
418,22469.771
419,23750.717
420,24534.910
421,24988.377
422,25116.906
423,24833.730
424,24140.002
425,23073.117
426,21734.166
427,20123.850
428,18320.143
429,16435.842
430,14521.185
431,12636.540
432,10838.667
433,9183.808
434,7775.886
435,6732.813
436,6076.625
437,5842.310
438,6050.568
439,6677.233
440,7684.181
441,9050.879
442,10764.388
