Distance_(pixels),Gray_Value
0,1356.000
1,1323.754
2,1358.187
3,1410.709
4,1378.909
5,1394.828
6,1404.701
7,1467.811
8,1489.663
9,1447.540
10,1385.529
11,1400.380
12,1418.812
13,1354.381
14,1351.850
15,1343.962
16,1364.794
17,1393.662
18,1402.035
19,1415.529
20,1431.702
21,1414.429
22,1474.455
23,1402.892
24,1279.055
25,1307.099
26,1370.297
27,1389.437
28,1400.277
29,1338.362
30,1280.553
31,1419.434
32,1509.423
33,1464.944
34,1380.852
35,1342.120
36,1295.144
37,1318.926
38,1394.087
39,1371.048
40,1321.790
41,1340.006
42,1336.860
43,1349.481
44,1415.510
45,1375.546
46,1270.417
47,1266.203
48,1284.628
49,1323.026
50,1346.884
51,1360.218
52,1338.199
53,1283.193
54,1293.118
55,1310.854
56,1346.893
57,1305.763
58,1280.629
59,1325.683
60,1297.553
61,1226.224
62,1275.029
63,1329.656
64,1341.521
65,1344.075
66,1322.082
67,1307.925
68,1246.905
69,1225.042
70,1273.104
71,1313.362
72,1343.183
73,1296.652
74,1241.315
75,1239.864
76,1274.058
77,1319.698
78,1391.721
79,1451.520
80,1507.301
81,1590.873
82,1684.074
83,1703.787
84,1737.970
85,1833.781
86,1846.681
87,1897.787
88,1906.763
89,1956.772
90,2145.991
91,2382.687
92,2412.517
93,2399.957
94,2557.976
95,2852.838
96,3017.765
97,2916.523
98,2814.704
99,2887.474
100,3103.545
101,3132.221
102,3042.370
103,2881.552
104,2752.093
105,2653.870
106,2465.905
107,2279.073
108,2304.930
109,2568.107
110,2985.578
111,3490.740
112,3701.947
113,3598.660
114,3499.598
115,3762.746
116,4051.404
117,4075.748
118,3925.970
119,3781.689
120,3703.516
121,3557.204
122,3405.781
123,3696.024
124,4216.253
125,4629.574
126,4953.662
127,5156.669
128,5424.231
129,6027.178
130,6630.223
131,6372.979
132,5583.658
133,4856.885
134,4268.055
135,4057.709
136,3865.071
137,3388.438
138,2820.406
139,2525.146
140,2360.834
141,2020.489
142,1627.374
143,1454.928
144,1358.340
145,1443.877
146,1568.106
147,1943.798
148,2424.588
149,2050.767
150,1644.758
151,1458.348
152,1599.678
153,1676.597
154,1386.461
155,1370.211
156,1418.110
157,1408.196
158,1339.696
159,1218.612
160,1254.559
161,1333.562
162,1348.225
163,1259.034
164,1268.503
165,1293.091
166,1295.028
167,1390.582
168,1367.347
169,1328.843
170,1349.107
171,1353.124
172,1364.664
173,1369.274
174,1283.749
175,1295.660
176,1323.582
177,1311.146
178,1308.746
179,1275.720
180,1254.854
181,1297.257
182,1407.509
183,1398.530
184,1319.258
185,1251.007
186,1309.976
187,1332.246
188,1381.001
189,1374.776
190,1360.617
191,1398.464
192,1264.747
193,1184.123
194,1248.642
195,1298.845
196,1327.187
197,1359.859
198,1373.546
199,1391.685
200,1363.555
201,1347.215
202,1321.300
203,1288.290
204,1294.537
205,1351.136
206,1416.108
207,1394.869
208,1412.978
209,1418.593
210,1409.586
211,1345.817
212,1386.715
213,1428.658
214,1390.225
215,1410.016
216,1383.733
217,1445.076
218,1620.202
219,1572.901
220,1533.991
221,1558.561
222,1467.106
223,1372.768
224,1361.713
225,1397.309
226,1540.572
227,1551.417
228,1454.063
229,1372.840
230,1437.903
231,1532.645
232,1524.008
233,1479.222
234,1451.550
235,1416.267
236,1407.060
237,1514.736
238,1509.353
239,1351.687
240,1339.535
241,1337.503
242,1263.863
243,1299.263
244,1307.482
245,1283.494
246,1302.339
247,1328.970
248,1300.739
249,1311.583
250,1347.948
251,1352.784
252,1276.388
253,1243.787
254,1298.403
255,1304.102
256,1282.987
257,1336.484
258,1365.950
259,1359.931
260,1354.733
261,1315.919
262,1373.938
263,1382.192
264,1354.825
265,1350.938
266,1378.504
267,1377.805
268,1380.082
269,1395.301
270,1364.863
271,1309.085
272,1320.625
273,1301.293
274,1288.775
275,1272.319
276,1300.819
277,1343.336
278,1405.535
279,1443.913
280,1427.886
281,1421.646
282,1426.124
283,1428.482
284,1494.741
285,1580.683
286,1572.636
287,1568.645
288,1651.489
289,2005.932
290,2255.390
291,2172.052
292,2387.312
293,2586.124
294,2742.005
295,2951.952
296,3200.639
297,3649.379
298,4471.440
299,5510.830
300,6116.476
301,6697.148
302,7981.862
303,9489.813
304,10704.941
305,10984.475
306,11028.534
307,12181.353
308,14938.004
309,17211.682
310,17579.418
311,16520.861
312,14926.397
313,14843.015
314,17274.002
315,20660.820
316,25270.518
317,30620.891
318,33102.613
319,32451.514
320,30341.418
321,27374.453
322,25519.166
323,22083.043
324,16855.469
325,13828.478
326,10305.095
327,6363.009
328,4579.009
329,3988.645
330,3390.333
331,2666.873
332,2309.393
333,2014.722
334,1741.625
335,1534.679
336,1471.853
337,1570.531
338,1535.594
339,1437.379
340,1439.452
341,1512.925
342,1420.703
343,1411.331
344,1414.624
345,1312.446
346,1335.578
347,1354.920
348,1277.036
349,1270.542
350,1366.577
351,1360.949
352,1359.465
353,1313.678
354,1326.897
355,1363.229
356,1364.964
357,1345.503
358,1341.339
359,1367.362
360,1399.491
361,1417.637
362,1355.198
363,1337.431
364,1338.378
365,1387.937
366,1396.708
367,1382.930
368,1462.848
369,1406.199
370,1381.953
371,1413.948
372,1372.560
373,1274.641
374,1310.956
375,1379.556
376,1331.502
377,1306.833
378,1276.656
379,1289.599
380,1226.268
381,1188.641
382,1264.285
383,1277.586
384,1307.954
385,1334.915
386,1286.717
387,1293.611
388,1318.705
389,1313.517
390,1355.430
391,1403.823
392,1358.994
393,1329.781
394,1297.261
395,1265.613
396,1292.897
397,1302.491
398,1345.418
399,1456.121
400,1432.405
401,1320.879
402,1285.893
